trim_name,mileage,pred
EX-L,0,27599.400938475545
LX,0,21982.58417301596
SE,0,22644.52458079702
Touring,0,30743.47621048271
EX-L,500,27534.69383905854
LX,500,21917.877073598953
SE,500,22579.817481380014
Touring,500,30678.769111065703
EX-L,1e3,27469.986739641532
LX,1e3,21853.169974181947
SE,1e3,22515.110381963008
Touring,1e3,30614.062011648697
EX-L,1500,27405.279640224526
LX,1500,21788.46287476494
SE,1500,22450.403282546
Touring,1500,30549.35491223169
EX-L,2e3,27340.57254080752
LX,2e3,21723.755775347934
SE,2e3,22385.696183128995
Touring,2e3,30484.647812814685
EX-L,2500,27275.865441390513
LX,2500,21659.048675930928
SE,2500,22320.98908371199
Touring,2500,30419.94071339768
EX-L,3e3,27211.158341973507
LX,3e3,21594.34157651392
SE,3e3,22256.281984294983
Touring,3e3,30355.233613980672
EX-L,3500,27146.4512425565
LX,3500,21529.634477096915
SE,3500,22191.574884877977
Touring,3500,30290.526514563666
EX-L,4e3,27081.744143139495
LX,4e3,21464.92737767991
SE,4e3,22126.86778546097
Touring,4e3,30225.81941514666
EX-L,4500,27017.03704372249
LX,4500,21400.220278262903
SE,4500,22062.160686043964
Touring,4500,30161.112315729653
EX-L,5e3,26952.329944305482
LX,5e3,21335.513178845897
SE,5e3,21997.453586626958
Touring,5e3,30096.405216312647
EX-L,5500,26887.622844888476
LX,5500,21270.80607942889
SE,5500,21932.74648720995
Touring,5500,30031.69811689564
EX-L,6e3,26822.91574547147
LX,6e3,21206.098980011884
SE,6e3,21868.039387792945
Touring,6e3,29966.991017478635
EX-L,6500,26758.208646054463
LX,6500,21141.391880594878
SE,6500,21803.33228837594
Touring,6500,29902.28391806163
EX-L,7e3,26693.501546637457
LX,7e3,21076.68478117787
SE,7e3,21738.625188958933
Touring,7e3,29837.576818644622
EX-L,7500,26628.79444722045
LX,7500,21011.977681760865
SE,7500,21673.918089541927
Touring,7500,29772.869719227616
EX-L,8e3,26564.087347803445
LX,8e3,20947.27058234386
SE,8e3,21609.21099012492
Touring,8e3,29708.16261981061
EX-L,8500,26499.380248386435
LX,8500,20882.56348292685
SE,8500,21544.50389070791
Touring,8500,29643.4555203936
EX-L,9e3,26434.67314896943
LX,9e3,20817.856383509843
SE,9e3,21479.796791290904
Touring,9e3,29578.748420976593
EX-L,9500,26369.966049552422
LX,9500,20753.149284092837
SE,9500,21415.089691873898
Touring,9500,29514.041321559587
EX-L,1e4,26305.258950135416
LX,1e4,20688.44218467583
SE,1e4,21350.382592456892
Touring,1e4,29449.33422214258
EX-L,10500,26240.55185071841
LX,10500,20623.735085258824
SE,10500,21285.675493039886
Touring,10500,29384.627122725575
EX-L,11e3,26175.844751301403
LX,11e3,20559.027985841818
SE,11e3,21220.96839362288
Touring,11e3,29319.92002330857
EX-L,11500,26111.137651884397
LX,11500,20494.32088642481
SE,11500,21156.261294205873
Touring,11500,29255.212923891562
EX-L,12e3,26046.43055246739
LX,12e3,20429.613787007806
SE,12e3,21091.554194788867
Touring,12e3,29190.505824474556
EX-L,12500,25981.723453050385
LX,12500,20364.9066875908
SE,12500,21026.84709537186
Touring,12500,29125.79872505755
EX-L,13e3,25917.01635363338
LX,13e3,20300.199588173793
SE,13e3,20962.139995954854
Touring,13e3,29061.091625640543
EX-L,13500,25852.309254216372
LX,13500,20235.492488756787
SE,13500,20897.432896537848
Touring,13500,28996.384526223537
EX-L,14e3,25787.602154799366
LX,14e3,20170.78538933978
SE,14e3,20832.725797120842
Touring,14e3,28931.67742680653
EX-L,14500,25722.89505538236
LX,14500,20106.078289922774
SE,14500,20768.018697703836
Touring,14500,28866.970327389525
EX-L,15e3,25658.187955965353
LX,15e3,20041.371190505768
SE,15e3,20703.31159828683
Touring,15e3,28802.26322797252
EX-L,15500,25593.480856548347
LX,15500,19976.66409108876
SE,15500,20638.604498869823
Touring,15500,28737.556128555512
EX-L,16e3,25528.77375713134
LX,16e3,19911.956991671756
SE,16e3,20573.897399452817
Touring,16e3,28672.849029138506
EX-L,16500,25464.066657714335
LX,16500,19847.24989225475
SE,16500,20509.19030003581
Touring,16500,28608.1419297215
EX-L,17e3,25399.35955829733
LX,17e3,19782.542792837743
SE,17e3,20444.483200618804
Touring,17e3,28543.434830304494
EX-L,17500,25334.652458880322
LX,17500,19717.835693420737
SE,17500,20379.776101201798
Touring,17500,28478.727730887487
EX-L,18e3,25269.945359463316
LX,18e3,19653.12859400373
SE,18e3,20315.069001784792
Touring,18e3,28414.02063147048
EX-L,18500,25205.23826004631
LX,18500,19588.421494586724
SE,18500,20250.361902367786
Touring,18500,28349.313532053475
EX-L,19e3,25140.531160629303
LX,19e3,19523.714395169718
SE,19e3,20185.65480295078
Touring,19e3,28284.60643263647
EX-L,19500,25075.824061212297
LX,19500,19459.00729575271
SE,19500,20120.947703533773
Touring,19500,28219.899333219462
EX-L,2e4,25011.11696179529
LX,2e4,19394.300196335706
SE,2e4,20056.240604116767
Touring,2e4,28155.192233802456
